_id,fighter_id,name,height,weight,reach,stance,dob,n_win,n_loss,n_draw,sig_str_land_pM,sig_str_land_pct,sig_str_abs_pM,sig_str_def_pct,td_avg,td_land_pct,td_def_pct,sub_avg,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z
67533c6e7a2ac5f7e09aec75,710d93f1508f7104,Stevie Lynch,"5' 10""",170 lbs.,,Orthodox,,5,2,0,2.47,0.25,7.06,0.41,0.0,0.0,0.0,0.0,-25.105677,-42.548763,-9.208842,-9.976714,11.997353
67533c6e7a2ac5f7e09aec76,5a4913108a3b9190,Lv Zhenhong,"5' 8""",145 lbs.,"67""",Switch,"Jun 25, 1993",16,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec77,5f33ae0620e050c5,Mando Gutierrez,"5' 6""",135 lbs.,"70""",Southpaw,"Feb 24, 1997",7,2,0,0.8,0.75,1.33,0.5,1.0,1.0,0.4,1.0,30.339294,56.697845,5.0442677,20.701008,-4.2842607
67533c6e7a2ac5f7e09aec78,eaea0fc7b76525a8,Mike Guymon,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 17, 1974",15,6,1,2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2,13.19166,14.16701,9.10719,4.7953367,-0.7488884
67533c6e7a2ac5f7e09aec79,4d74641fac830182,Brad Gumm,"5' 11""",170 lbs.,,Orthodox,,10,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec7a,98a6b2361045898f,Dong Hyun Ma,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",16,11,3,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0,7.450555,3.034169,13.25837,-1.1379232,0.5246107
67533c6e7a2ac5f7e09aec7b,45f0cc9d18f35137,Chris Gutierrez,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",21,6,2,4.72,0.59,2.64,0.64,0.26,0.3,0.71,0.1,34.30066,-18.239258,10.176033,-5.2383904,-3.9521337
67533c6e7a2ac5f7e09aec7c,0eef1bf99afd4ff2,Steve Mann,"6' 1""",170 lbs.,,,,12,5,0,3.18,0.7,0.66,0.57,1.64,1.0,0.6,0.0,33.772602,56.623055,8.326896,18.174767,-2.9531474
67533c6e7a2ac5f7e09aec6c,b7ffa72aa148599a,KJ Noons,"5' 10""",155 lbs.,"70""",Orthodox,"Dec 07, 1982",13,9,0,3.68,0.35,3.78,0.65,0.08,0.2,0.68,0.0,20.756977,-16.940998,3.05945,-6.739071,-5.3081694
67533c6e7a2ac5f7e09aec7f,5f6038bcdb95e3e4,John Kolosci,"5' 11""",185 lbs.,,Orthodox,"Nov 26, 1974",15,9,0,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0,-34.140324,-26.61289,-10.887353,-3.6560726,9.491658
67533c6e7a2ac5f7e09aec80,dba230fe33011201,Jong Man Kim,"5' 7""",139 lbs.,,Orthodox,"Mar 03, 1978",23,11,3,1.33,0.21,3.0,0.6,0.0,0.0,0.0,0.0,-34.38574,-30.206085,-9.781637,-4.3798404,11.63446
67533c6e7a2ac5f7e09aec81,e2ac5bb645f33088,Satoru Kitaoka,"5' 6""",154 lbs.,,,"Feb 04, 1980",40,14,9,0.68,0.33,2.15,0.45,0.62,0.1,0.27,2.1,-23.239395,23.457666,-6.792961,5.0320506,4.507274
67533c6e7a2ac5f7e09aec82,184b7a36d50dcc5e,Chelsea Hackett,"5' 4""",125 lbs.,"66""",Switch,"Aug 16, 1998",3,1,1,2.58,0.51,4.85,0.46,0.0,0.0,0.57,0.0,-3.7080195,-29.780956,-3.5718958,-11.360087,0.70722795
67533c6e7a2ac5f7e09aec83,a20f234df70f2182,Ji Yeon Kim,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",9,7,2,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,5.786886,-44.06716,1.8928158,-14.389352,2.0084136
67533c6e7a2ac5f7e09aec84,06f0ffa6446c5b6d,Branden Lee Hinkle,"6' 3""",235 lbs.,,Orthodox,"Jul 29, 1973",17,11,0,2.61,0.69,3.91,0.26,4.34,0.57,0.66,4.3,8.4834795,42.177837,-4.454744,14.27211,2.2968285
67533c6e7a2ac5f7e09aec85,8588d14c4952b9fa,Young Hwang,"5' 9""",135 lbs.,,,"Sep 02, 1988",8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec86,155bfc7ed36622df,Solomon Hutcherson,"5' 11""",185 lbs.,,Southpaw,"Aug 31, 1972",11,7,0,2.59,0.39,2.59,0.64,3.53,1.0,0.0,0.0,13.733143,55.105186,3.6714134,18.37816,1.8600277
67533c6e7a2ac5f7e09aec87,edc9eb3051f444fa,Adam Hunter,"6' 1""",185 lbs.,,Orthodox,"Oct 16, 1983",7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec88,baa5358456803df8,Alex Hunter,"5' 9""",226 lbs.,,Orthodox,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec89,21b54430c8eeb9cc,Joe Hurley,"5' 8""",155 lbs.,,,"Jun 24, 1978",12,5,0,1.12,0.45,3.35,0.56,0.0,0.0,0.2,0.0,-28.077654,-21.340912,-7.083151,-4.9428177,4.784588
67533c6e7a2ac5f7e09aec8a,f703250471acaf96,Harry Hunsucker,"6' 2""",205 lbs.,"75""",Orthodox,"Jan 03, 1989",7,6,0,3.54,0.52,6.53,0.42,0.0,0.0,0.0,2.0,-11.573045,-44.09893,-2.0054739,-10.307769,9.893551
67533c6e7a2ac5f7e09aec8b,cb1b4d237b0079e6,Abongo Humphrey,"5' 11""",205 lbs.,,Orthodox,,7,3,0,1.45,0.4,3.83,0.46,1.41,0.37,0.33,3.8,-16.61187,31.018856,-5.652935,9.671422,3.8003552
67533c6e7a2ac5f7e09aec8c,eef9b891edbd4604,Mark Hunt,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",13,14,1,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,34.22161,10.932677,12.281954,1.0567297,-2.519464
67533c6e7a2ac5f7e09aec8e,b0718335e9868cfd,David Hulett,"5' 10""",170 lbs.,,,"Sep 07, 1980",22,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec90,f264ba50b007f39e,Victor Hugo,"5' 7""",135 lbs.,"71""",Orthodox,"Nov 22, 1992",25,5,0,3.27,0.44,2.95,0.56,0.81,0.33,0.73,1.2,17.107456,-4.9847703,3.6257133,-2.9805517,-3.4042842
67533c6e7a2ac5f7e09aec91,6a11e325aa60ad02,Jeff Hughes,"6' 2""",250 lbs.,"77""",Orthodox,"May 17, 1988",10,4,0,3.95,0.51,3.67,0.6,0.71,0.5,0.45,0.0,28.289547,-2.8289106,13.0190525,-2.498445,1.2161605
67533c6e7a2ac5f7e09aec92,e94085e821bd81de,Sam Hughes,"5' 5""",115 lbs.,"64""",Orthodox,"Jun 28, 1992",9,6,0,4.33,0.46,4.46,0.56,0.85,0.3,0.6,0.0,31.554352,-20.90369,9.846614,-8.151283,-0.61026114
67533c6e7a2ac5f7e09aec93,737d93a42b8c2e94,Casey Huffman,"6' 3""",185 lbs.,,,,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec94,8b9197746bd3e005,Alex Huddleston,"6' 7""",254 lbs.,,,"Aug 11, 1986",6,2,0,2.47,0.42,2.59,0.67,0.0,0.0,0.0,0.9,-26.021019,-27.376404,-6.3384876,-3.0741396,11.09079
67533c6e7a2ac5f7e09aec95,d62bb4d84a7267ba,Mark Hughes,"5' 9""",205 lbs.,,Southpaw,"Oct 13, 1973",6,2,0,0.9,0.47,0.4,0.42,3.0,0.5,0.0,4.5,-14.473787,34.332996,-4.5216665,11.630714,5.1427155
67533c6e7a2ac5f7e09aec96,daf1b84aebd6602b,Roger Huerta,"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",23,9,1,3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,18.054916,19.16545,7.4332323,4.2880383,-4.6746573
67533c6e7a2ac5f7e09aec7d,b180f05acb24d430,Patrick Kaase,"5' 9""",185 lbs.,,,,1,2,0,4.4,0.67,0.53,0.5,0.0,0.0,0.5,0.0,-0.9092403,-24.107052,-1.5619416,-7.557569,1.3949733
67533c6e7a2ac5f7e09aec98,621a6c59f88a44fe,Matt Hughes,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",45,9,0,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,2.2193522,29.380333,2.4037647,7.44361,3.8468966
67533c6e7a2ac5f7e09aec7e,831b937811804dad,Min Soo Kim,"6' 1""",255 lbs.,,Southpaw,"Jan 22, 1975",3,7,0,0.87,1.0,3.48,0.2,0.0,0.0,0.0,0.0,-30.551184,-13.380604,-4.349634,-8.910872,6.683936
67533c6e7a2ac5f7e09aec9b,d2cd7a69cc55e7ed,Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",17,8,0,4.12,0.43,3.92,0.57,1.54,0.34,0.67,0.0,36.17558,-2.2283041,9.835451,-3.3159006,-6.298323
67533c6e7a2ac5f7e09aec9c,1ec1b6a7a29ffc71,Brady Huang,"5' 9""",135 lbs.,"69""",Orthodox,"Dec 16, 1992",11,2,0,4.62,0.37,10.77,0.3,0.0,0.0,0.0,0.0,-19.79245,-50.21105,-6.251909,-13.662205,11.563047
67533c6e7a2ac5f7e09aec9e,f1175ea3aafbf351,Hu Yaozong,"6' 3""",185 lbs.,"72""",Orthodox,"Apr 07, 1995",3,3,0,3.35,0.48,5.09,0.35,0.0,0.0,0.33,0.4,-7.42055,-38.012844,-3.0182662,-11.788728,4.031459
67533c6e7a2ac5f7e09aec9d,225def29ecfe0fc1,Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",10,5,1,2.1,0.21,4.8,0.5,0.0,0.0,0.66,0.0,6.173747,-33.026108,-4.8397164,-13.217723,-3.5422833
67533c6e7a2ac5f7e09aec9f,a7de976620f2ed13,Shane Howell,"5' 8""",125 lbs.,,Orthodox,"Nov 28, 1983",13,10,0,1.27,0.32,2.55,0.42,0.0,0.0,0.2,0.0,-16.8487,-23.226883,-10.261638,-8.22397,0.9887475
67533c6e7a2ac5f7e09aeca0,fc31f896cde2bc2e,John Howard,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",24,13,0,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,10.339834,23.873703,4.8051677,6.0352316,1.1855986
67533c6e7a2ac5f7e09aeca2,a2b06ca02bca14c0,Harold Howard,"6' 2""",240 lbs.,,Orthodox,,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aeca3,36fbaa49a09ff997,Brian Houston,"6' 2""",185 lbs.,,Orthodox,"Apr 26, 1981",4,6,0,1.9,0.35,3.67,0.53,0.95,1.0,0.87,0.0,32.21769,49.64622,6.56851,16.614042,-6.5647306
67533c6e7a2ac5f7e09aeca4,97a8f39186f489db,Jeff Hougland,"5' 7""",135 lbs.,"68""",Orthodox,"Aug 02, 1978",10,6,0,1.86,0.48,3.46,0.47,0.86,0.18,0.0,1.1,-24.818016,6.7146826,-4.054692,3.106317,8.404062
67533c6e7a2ac5f7e09aeca6,c6668eeb261588d3,Trey Houston,"5' 11""",185 lbs.,,,,11,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aeca7,57591bbf1623574e,John Hosman,"5' 10""",135 lbs.,,Southpaw,"Nov 13, 1980",18,8,1,1.11,0.38,1.52,0.45,0.0,0.0,0.46,0.0,-10.400005,-23.75166,-7.3720274,-8.090507,1.084237
67533c6e7a2ac5f7e09aeca8,5c637af9472ae7cc,Jamey-Lyn Horth,"5' 7""",125 lbs.,"66""",Orthodox,"Mar 30, 1990",7,1,0,3.29,0.56,2.91,0.59,1.0,0.37,0.68,0.0,29.328896,-6.230441,7.8887467,-2.395804,-4.2689466
67533c6e7a2ac5f7e09aeca9,21632ba272c0785a,Matt Horning,"5' 4""",125 lbs.,,,,20,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecaa,049d698d773eb3e1,Matt Horwich,"6' 1""",185 lbs.,,Orthodox,"Oct 02, 1978",30,25,1,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7,-26.969162,-6.933799,-9.04152,3.3002627,4.6490803
67533c6e7a2ac5f7e09aecab,e29cf523ebd155c5,Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987",21,7,1,4.59,0.41,3.16,0.65,1.52,0.55,0.37,0.9,43.406193,-5.242657,15.769175,-4.490877,-3.3050718
67533c6e7a2ac5f7e09aecad,3fa7688bfe48a493,Yoshinori Horie,"5' 8""",145 lbs.,"70""",Orthodox,"May 10, 1995",8,2,0,2.76,0.49,5.65,0.48,0.0,0.0,0.0,0.0,-17.185118,-43.55089,-5.32306,-9.038803,10.804123
67533c6e7a2ac5f7e09aecac,98aa60cf58071fd6,Kyoji Horiguchi,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",19,2,0,3.6,0.45,2.45,0.62,2.0,0.44,0.55,0.0,36.687447,4.6203294,9.760616,-0.48162305,-5.4540925
67533c6e7a2ac5f7e09aecae,f6c1ce7cfd600662,Yuma Horiuchi,"5' 6""",125 lbs.,"67""",Switch,"Sep 22, 1997",9,5,0,3.73,0.3,5.0,0.35,2.0,0.16,0.0,2.0,-19.735935,7.816924,0.49534866,4.5792565,12.806715
67533c6e7a2ac5f7e09aecaf,8d26912cd2aeb366,Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,"Aug 25, 1975",91,22,5,1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,-10.847552,22.784044,-1.5204322,5.2729974,2.6463656
67533c6e7a2ac5f7e09aecb0,baf942f4bcb09894,Moti Horenstein,"6' 4""",230 lbs.,,Orthodox,,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecb1,18e8b7070228e728,Darrell Horcher,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",13,4,0,2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7,8.460666,8.953977,4.823755,2.6294136,-0.5952356
67533c6e7a2ac5f7e09aecb2,971246648e162f0d,Chase Hooper,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",14,3,1,5.08,0.52,3.33,0.36,1.45,0.24,0.55,2.3,10.625056,1.3163209,10.310666,-3.0221417,6.5096397
67533c6e7a2ac5f7e09aecb3,7f9abc4db2d05764,Lorenzo Hood,"6' 3""",265 lbs.,"80""",Southpaw,"Mar 02, 1989",14,5,0,2.64,0.61,4.66,0.11,0.0,0.0,1.0,0.0,15.488653,-39.36667,-1.6871779,-18.839523,-1.571511
67533c6e7a2ac5f7e09aecb4,5af480a3b2e1726b,David Hood,"6' 0""",200 lbs.,,,,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecb5,d2b1c1317a39f6c6,Satoshi Honma,"6' 1""",205 lbs.,,Orthodox,"May 19, 1968",4,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecb6,193b9d1858bc4df3,Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",24,12,0,5.03,0.48,4.72,0.51,0.73,0.34,0.78,0.3,39.00638,-18.782417,10.161769,-9.294408,-4.2309613
67533c6e7a2ac5f7e09aecb7,10d4575f497face4,SeongChan Hong,"5' 7""",155 lbs.,"69""",Orthodox,"Nov 28, 1989",9,2,0,6.57,0.55,8.76,0.47,0.0,0.0,0.0,0.0,-15.258668,-49.962723,-3.5346074,-13.419969,11.425984
67533c6e7a2ac5f7e09aecb8,b24666e26bd750a3,JunYoung Hong,"5' 9""",145 lbs.,"69""",Orthodox,"Dec 18, 1990",13,8,1,2.1,0.39,2.3,0.48,0.0,0.0,0.35,0.0,-8.712869,-25.100155,-6.638389,-7.2418585,2.2530005
67533c6e7a2ac5f7e09aecb9,4d2e3320d815f687,Chris Honeycutt,"5' 10""",170 lbs.,"73""",,"Jul 25, 1988",9,1,0,2.99,0.44,1.41,0.66,3.4,0.45,0.75,0.0,21.580315,27.462605,6.2919173,9.663587,-3.2242417
67533c6e7a2ac5f7e09aecba,c11f50e9c1513ce9,Mark Holst,"6' 0""",155 lbs.,,Orthodox,"Aug 14, 1985",12,6,0,0.25,0.19,1.67,0.47,0.76,1.0,0.6,2.3,23.754944,57.28988,1.2161986,18.94829,-3.5016375
67533c6e7a2ac5f7e09aecbb,0a97691039c4bbfb,Mark Hominick,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1982",20,12,0,4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9,43.484756,12.934252,14.172326,0.34568617,-5.805572
67533c6e7a2ac5f7e09aec97,f372a848d250e006,Collin Huckbody,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 29, 1994",8,2,0,2.05,0.6,2.73,0.42,10.23,1.0,0.0,20.4,-25.284618,37.97142,-9.612297,12.600831,6.3957553
67533c6e7a2ac5f7e09aecbd,472f6f6e6d962f40,Barb Honchak,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 30, 1979",10,4,0,4.04,0.3,4.67,0.66,0.0,0.0,0.0,1.3,-22.872986,-29.63272,-5.6726246,-4.909936,13.563772
67533c6e7a2ac5f7e09aec99,e71c75f533a30daa,Huang Feier,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 12, 1994",14,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecbf,71f048adbfed5b49,Sabah Homasi,"6' 0""",170 lbs.,"72""",Orthodox,"Oct 19, 1988",11,8,0,4.98,0.48,6.91,0.47,2.8,0.5,0.66,0.0,53.839874,-7.1658015,16.800846,-9.102093,-0.58286893
67533c6e7a2ac5f7e09aecc0,6e7c758f5cdec01a,Paddy Holohan,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",12,2,1,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3,13.909602,27.409603,4.875292,7.8269916,0.5432013
67533c6e7a2ac5f7e09aecc1,a7151778b3381036,Kurt Holobaugh,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986",22,8,0,4.63,0.45,4.35,0.47,0.76,0.33,0.42,0.8,32.24678,-25.082512,9.882662,-9.222726,2.479232
67533c6e7a2ac5f7e09aecc2,b5ea750025697880,Rex Holman,"6' 3""",205 lbs.,,Southpaw,,4,2,0,2.75,0.34,7.25,0.4,0.0,0.0,1.0,0.0,11.593862,-36.60428,-3.96178,-16.612518,-2.0454893
67533c6e7a2ac5f7e09aecc3,8d20d76af3f213ce,Joseph Holmes,"6' 4""",185 lbs.,"80""",Orthodox,"Jul 04, 1995",8,4,0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8,17.81901,4.8986707,9.17511,1.9605247,4.346193
67533c6e7a2ac5f7e09aecc4,ee28aa7f1043756c,Jeremie Holloway,"6' 0""",170 lbs.,,,"Sep 29, 1984",8,3,0,0.81,0.5,0.51,0.79,0.0,0.0,0.0,0.0,-27.201794,-23.275784,-6.331889,-3.105043,7.455799
67533c6e7a2ac5f7e09aecc5,e30715382f42b772,Gabrielle Holloway,"5' 3""",145 lbs.,,,"Apr 15, 1990",6,5,0,0.7,0.42,3.07,0.34,3.0,0.35,0.16,1.0,-9.815631,28.54188,-2.1348374,6.628604,6.6941304
67533c6e7a2ac5f7e09aecc6,3a46b268013afede,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",26,12,0,4.24,0.49,3.21,0.5,0.83,0.38,0.54,0.6,36.05486,-6.6769156,9.725912,-3.5033746,-0.86303496
67533c6e7a2ac5f7e09aecc7,634e2fb70bde3fd5,Holly Holm,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",15,7,0,3.13,0.4,2.92,0.55,0.87,0.3,0.76,0.1,20.435846,-11.040318,3.9665608,-3.0428352,-6.5934815
67533c6e7a2ac5f7e09aecc8,27d65e9d0fba61ea,Roger Hollett,"5' 11""",205 lbs.,,Orthodox,"Oct 08, 1978",13,5,0,1.83,0.47,6.47,0.34,1.0,0.28,0.3,0.0,-7.734234,0.7675293,-1.3124012,-1.070394,6.3122573
67533c6e7a2ac5f7e09aecc9,150ff4cc642270b9,Max Holloway,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",26,8,0,7.16,0.47,4.76,0.59,0.25,0.53,0.83,0.3,50.51225,-16.265268,14.182066,-10.884366,-5.5140285
67533c6e7a2ac5f7e09aecca,fc60ecf0671b9489,Chris Holdsworth,"5' 11""",135 lbs.,,,"Oct 24, 1987",6,0,0,1.85,0.29,1.94,0.58,3.38,0.62,1.0,2.0,27.140488,26.330404,4.5548916,11.033846,-7.1871014
67533c6e7a2ac5f7e09aeccb,acbb9c76f5894e36,Sean Holden,"5' 10""",170 lbs.,,,"Sep 17, 1984",5,2,0,2.4,0.59,0.6,0.59,5.0,0.83,0.0,2.0,-4.848233,47.288197,2.905586,14.66671,5.181617
67533c6e7a2ac5f7e09aeccc,66ab58d0b3783607,Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",12,3,0,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1,-23.34931,-4.2694983,-6.0443935,3.1171741,7.0000334
67533c6e7a2ac5f7e09aeccd,33fb306278dbb3e5,Chris Hofmann,"6' 0""",170 lbs.,"72""",Orthodox,"Nov 18, 1989",9,2,0,4.78,0.45,4.63,0.35,3.42,0.42,0.0,0.0,-16.861635,5.316332,4.048997,4.159331,12.399669
67533c6e7a2ac5f7e09aecce,afaad7d6a581e307,Bobby Hoffman,"6' 2""",245 lbs.,,Orthodox,"Oct 28, 1968",36,10,1,2.02,0.7,1.32,0.19,1.17,0.5,0.0,1.2,-7.312006,30.688293,0.13771388,5.161499,6.7530637
67533c6e7a2ac5f7e09aeccf,84a067c46306a737,Sam Hoger,"6' 2""",205 lbs.,,Orthodox,"Jun 28, 1980",10,4,0,1.07,0.25,2.25,0.57,1.12,0.38,0.29,1.3,-11.754226,21.161224,-3.1738548,4.868364,2.4463227
67533c6e7a2ac5f7e09aecd0,c13042265355a290,Kwan Ho Kwak,"5' 5""",135 lbs.,,Switch,"Jun 18, 1989",9,2,0,3.29,0.41,3.45,0.47,0.78,1.0,0.26,0.0,27.149324,53.549534,4.79042,18.500277,-2.2378774
67533c6e7a2ac5f7e09aecd1,b57edace7b647f07,Matt Hobar,"5' 10""",135 lbs.,"70""",Southpaw,"Jan 07, 1987",9,3,0,3.23,0.42,4.27,0.52,3.66,0.44,0.5,0.0,16.273203,31.26406,10.00486,7.8265333,5.2922397
67533c6e7a2ac5f7e09aecd2,8332a607df696345,Yuji Hisamatsu,"5' 10""",185 lbs.,,,"Sep 18, 1971",16,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aecd3,6c9384138c82962f,An Tuan Ho,"5' 6""",125 lbs.,"66""",Switch,"Sep 27, 2000",6,1,0,4.14,0.37,4.97,0.33,0.0,0.0,0.0,0.0,-14.83782,-42.65068,-3.506473,-8.805621,12.06254
